city_name	population	average_income	area_sq_km	founded_date	mayor_name	tourist_attractions	average_temperature	time_zone	major_industries
Beit Horon	2715878	54328.81	58.22	4/17/1813	Bale O'Hanlon	park	15.4	Asia/Hebron	tourism
Shangqiu	9356713	41481.12	701.28	5/24/1865	Claudia Pilbeam	museum	13.9	Asia/Shanghai	tourism
Buliwao	7426049	41279.48	308.34	7/10/1966	Agosto Splevin	monument	3.2	Asia/Manila	manufacturing
Choya	8587971	31764.78	180.6	8/12/1764	Ulysses Lelievre	park	15.6	Asia/Omsk	manufacturing
Zavety Il’icha	2347738	36111.55	266.73	8/9/1751	Quinton Josuweit	museum	18.7	Asia/Vladivostok	manufacturing
Yanfolila	2509766	44384.98	657.34	4/18/1849	Rinaldo Chancelier	park	29.2	Africa/Bamako	technology
Pangpang	5979608	96574.17	57.51	1/10/1805	Trisha Garred	park	35.6	Asia/Manila	tourism
Abdurahmoni Jomí	1141252	57295.84	868.49	9/5/1917	Caryl Remirez	monument	25.6	Asia/Dushanbe	technology
Hantai	5540669	58736.48	116.94	1/20/1776	Abramo Lauks	museum	32.8	Asia/Shanghai	technology
Lagdo	368797	59493.96	64.65	7/31/1736	Haslett Spaice	monument	-18.3	Africa/Douala	manufacturing
Haligue	6535064	40807.1	275.2	2/9/2020	Imojean Zack	park	19.8	Asia/Manila	technology
Yaojiagou	4502835	61253.53	33.75	10/24/1877	Faunie Feldman	museum	-18.3	Asia/Chongqing	tourism
Az Zarbah	6705611	79988.97	374.51	10/11/1757	Hugh Chatain	monument	-0.2	Asia/Damascus	manufacturing
Uman’	7166663	65246.94	473.24	7/10/1709	Shayne Corah	monument	39.6	Europe/Kiev	manufacturing
Pô	6505023	89638.27	454.2	12/22/1746	Vida Wardle	monument	-17.8	Africa/Ouagadougou	technology
Wapno	7207669	35098.46	567.36	4/14/1777	Donall Dobrowski	monument	23.6	Europe/Warsaw	manufacturing
El Cantón de San Pablo	3849354	79810.94	301.72	2/23/1935	Quinn Mullins	museum	38.5	America/Bogota	technology
Sangkulirang	6623566	70438.47	599.53	9/12/1851	Langston Gilfillan	park	19.5	Asia/Makassar	tourism
Caotan	5771434	72796.5	917.8	1/15/1903	Danny Gong	park	-1.0	Asia/Chongqing	technology
Al Kiswah	900246	48131.39	20.99	6/9/1880	Ash Barthod	monument	10.7	Asia/Damascus	tourism
Qazax	2545661	89104.97	331.28	2/3/1940	Delora Rennenbach	park	19.6	Asia/Baku	tourism
Sibagat	8764318	81636.6	672.55	8/2/1919	Lulu Dilley	park	15.2	Asia/Manila	manufacturing
Yuecheng	3274413	26224.43	135.76	8/10/1833	Zack Poncet	park	-14.2	Asia/Shanghai	tourism
Lefortovo	9455461	52863.95	438.75	12/7/1735	Alisha Goodlud	park	-4.9	Europe/Moscow	technology
Moneghetti	7469066	92823.59	393.03	1/8/1852	Dukie Winsper	park	-16.8	Europe/Monaco	technology
Frankfurt am Main	4465883	46215.47	287.42	1/29/1983	Gracie Venn	museum	1.5	Europe/Berlin	tourism
Walenrang	3841475	61967.89	104.95	8/16/1765	Pooh Monteaux	museum	13.1	Asia/Makassar	tourism
Vila do Maio	3471079	22063.21	174.04	10/5/1935	Reba Holdey	monument	33.2	Atlantic/Cape_Verde	manufacturing
Huantuo	9390676	74913.92	112.44	10/14/1779	Isa Towns	park	-3.0	Asia/Shanghai	technology
Yangchun	4081100	27539.02	516.83	9/23/1711	Maggee Brignell	monument	21.9	Asia/Chongqing	tourism
Tubo	8444010	44736.59	370.87	12/3/1857	Prudi Babington	museum	38.2	Asia/Manila	technology
Al Maḩallah al Kubrá	2997666	89882.68	143.72	12/7/1791	Lanni Eley	monument	-8.2	Africa/Cairo	technology
Borås	2892609	47302.88	599.04	3/30/1968	Boonie Hanretty	park	-6.6	Europe/Stockholm	technology
Brusy	8470560	45897.74	996.43	11/17/1844	Thacher Schwandermann	museum	17.8	Europe/Warsaw	tourism
Hostivice	1006761	67696.67	531.29	10/27/1956	Padget Di Dello	museum	-3.3	Europe/Prague	manufacturing
Newport News	8871490	99183.34	876.47	5/5/1736	Tonya Morad	park	-2.6	America/New_York	technology
Hiratsuka	8831033	20921.51	458.02	3/28/1966	Kellia Prestedge	museum	-13.0	Asia/Tokyo	manufacturing
Cerca la Source	2293431	89533.96	466.5	4/20/1883	Guenna Brikner	park	1.4	America/Port-au-Prince	tourism
Steinkjer	9005644	36681.71	462.85	9/13/1988	Blakeley Keelan	park	8.0	Europe/Oslo	technology
Parlilitan	1582519	69462.7	450.43	1/7/1821	Karalynn Doldon	museum	39.3	Asia/Jakarta	technology
Neya	4882810	57709.24	629.1	1/16/1961	Matti Dilworth	park	13.7	Europe/Moscow	manufacturing
Carapicuíba	2917199	50390.02	37.61	10/9/1802	Demetris McRae	monument	11.9	America/Sao_Paulo	tourism
Vidin	6537040	30496.58	387.21	10/19/1984	Christos Pinchin	park	-1.6	Europe/Sofia	tourism
Oakland	5633162	99172.98	586.58	12/12/1978	Dennie Rupert	park	31.8	America/Los_Angeles	manufacturing
Hanover	6403862	50554.07	548.58	7/28/1743	Teodoro McMurtyr	monument	14.8	America/Toronto	technology
Kusŏng	3692719	45660.25	15.19	9/14/1777	Noreen Cruft	museum	36.3	Asia/Pyongyang	tourism
Khueang Nai	8412331	87104.94	993.66	11/2/1825	Dodi Cosans	museum	-2.7	Asia/Bangkok	tourism
Gračec	1763905	34891.94	46.45	5/14/1987	Fransisco Dabourne	museum	24.5	Europe/Zagreb	tourism
Somerset East	7557102	32847.74	340.17	7/8/1932	Oliviero Twiggins	park	34.4	Africa/Johannesburg	manufacturing
Skutskär	1954069	55838.07	435.77	8/4/1834	Casandra Issit	museum	-4.6	Europe/Stockholm	manufacturing
Huo’erqi	8995844	20552.49	412.44	7/9/1800	Leonelle Witherby	monument	12.7	Asia/Harbin	technology
Bicesse	2940125	30968.94	508.75	3/12/1937	Aldin Peagrim	museum	36.6	Europe/Lisbon	tourism
Pingdong	6478658	26642.75	83.28	6/27/1704	Colby Fawlks	museum	20.4	Asia/Shanghai	tourism
Ikar	597479	71820.17	374.38	11/29/1746	Mervin Dunnico	monument	27.8	Asia/Jakarta	tourism
Jadowniki	2464171	80234.11	443.3	11/7/1839	Mozelle McCleary	monument	-2.0	Europe/Warsaw	tourism
Bautista	8898236	76116.26	933.55	6/4/1926	Giacopo Eusden	monument	-10.2	Asia/Manila	manufacturing
Ágios Pétros	4034933	69526.33	496.72	12/6/1900	Zita Corbitt	monument	-3.1	Europe/Athens	manufacturing
Liping	7096972	89955.6	820.83	1/31/1878	Marcellina Ossipenko	monument	6.0	Asia/Chongqing	technology
Itinga	9701336	39409.38	904.55	3/17/1996	Bette-ann Snowling	museum	-18.5	America/Sao_Paulo	manufacturing
Morez	2940469	26373.81	903.08	12/28/1866	Dagmar Rylands	park	4.8	Europe/Zurich	technology
Suzano	745544	26451.46	558.15	1/7/1926	Gian Lisle	museum	24.9	America/Sao_Paulo	technology
Arevashogh	6688128	63392.67	53.24	9/19/2021	Emile Gebuhr	park	-18.5	Asia/Yerevan	manufacturing
Lanlongkou	8845888	77460.29	410.29	11/15/2018	Stella Seller	museum	21.6	Asia/Chongqing	manufacturing
Limenária	1513838	74996.58	911.65	6/18/1795	Kellby Driuzzi	museum	36.0	Europe/Athens	technology
Zhavoronki	9260118	67116.73	680.19	4/3/1733	Hedwig Grote	park	-11.6	Europe/Moscow	tourism
Serpukhov	1121399	24579.64	353.42	5/25/1985	Ned Herculson	museum	11.4	Europe/Moscow	tourism
Paiçandu	8602923	92584.69	250.1	10/20/1849	Urbain Gepp	park	28.2	America/Sao_Paulo	tourism
Jakubów	9541843	53961.18	965.25	5/11/1851	Nathanil Peschet	park	-19.9	Europe/Warsaw	tourism
Koski Tl	7235316	30889.33	45.51	2/1/1911	Nanon Regnard	park	1.1	Europe/Helsinki	tourism
Ogden	591731	88205.38	181.01	12/9/1986	Clarke Simonitto	park	5.0	America/Denver	tourism
Caetité	7892747	74511.68	181.67	2/27/2001	Braden Cannaway	monument	22.0	America/Bahia	technology
Diaowei	3228663	46752.54	422.56	10/9/1826	Juana Ahlin	monument	19.6	Asia/Chongqing	tourism
Banaran	2739669	36963.69	577.74	11/10/1858	Kristan Boynton	monument	-2.0	Asia/Jakarta	manufacturing
Los Tangos	8579884	71396.44	330.65	4/4/2020	Domini Laxtonne	park	-13.8	America/Guatemala	tourism
Lucija	5136670	34677.21	915.18	12/21/1977	Sydelle Le Cornu	monument	16.2	Europe/Ljubljana	tourism
Gantang	7005216	34482.46	958.58	5/24/1805	Callida Rodman	monument	-1.3	Asia/Shanghai	manufacturing
Weiyuan	3613423	52914.91	694.49	11/19/1960	Haywood Calrow	park	-15.6	Asia/Harbin	manufacturing
Puerto Padre	5514317	51320.88	40.97	7/13/1942	Stella Flower	monument	24.6	America/Havana	technology
Shreveport	2094860	40370.64	682.45	5/14/1756	Danila Borborough	monument	15.5	America/Chicago	technology
Syriam	3834433	99286.3	814.87	2/3/1790	Irina Grossman	park	2.2	Asia/Rangoon	technology
Hezhi	9719661	98372.03	314.26	6/5/1761	Liv Bust	monument	34.1	Asia/Chongqing	manufacturing
Nailung	611429	46675.98	703.29	5/8/1771	Griz Sturgess	museum	-16.3	Asia/Kolkata	manufacturing
Mbaïki	6730732	78977.8	871.32	2/16/1989	Johnna Scardifield	museum	18.2	Africa/Bangui	technology
Hanyuan	6980494	28910.23	201.29	10/2/1996	Haleigh Jacobi	monument	22.7	Asia/Chongqing	tourism
Prokuplje	3242174	23180.33	91.99	3/31/1837	Shelby Paulet	museum	12.5	Europe/Belgrade	technology
Gränna	2943077	85480.08	258.85	2/6/1880	Gabbey Sissot	park	-5.8	Europe/Stockholm	tourism
Béziers	3828181	62236.61	673.8	7/5/1960	Delmore MacElharge	museum	-5.0	Europe/Paris	technology
Keelung	6290148	83025.15	108.5	11/17/1942	Freeman Rigden	park	-4.5	Asia/Taipei	tourism
Colima	681951	86435.87	22.33	4/12/1744	Ax Brixham	museum	-13.7	America/Costa_Rica	tourism
Puputan	6194843	67286.48	305.21	10/12/1809	Lethia Kittredge	monument	15.2	Asia/Jakarta	tourism
Guiping	9425490	41778.11	582.4	7/28/2009	Reggie Golden of Ireland	monument	5.1	Asia/Chongqing	tourism
Las Palmas	4322819	36874.06	542.65	12/7/1760	Adelbert Grimwood	monument	-12.6	America/Mexico_City	manufacturing
Cipicung	5565408	39839.01	967.17	3/14/1951	Janessa Paraman	park	5.5	Asia/Jakarta	manufacturing
Krasnyye Barrikady	4204070	27513.31	626.69	2/3/1975	Torr Cheyney	park	-3.8	Europe/Volgograd	technology
Kohila	8952235	99506.28	377.7	2/4/1845	Giralda Spender	monument	21.3	Europe/Tallinn	tourism
Olímpia	3596095	58252.39	335.71	10/25/1712	Sidonnie Fernez	monument	-12.5	America/Sao_Paulo	manufacturing
Costeira do Pirajubae	8301011	55911.02	33.94	11/8/1992	Beatrix Jaime	museum	-4.5	America/Sao_Paulo	manufacturing
Oslo	4510444	94317.56	540.71	4/27/1891	Gillie Burrell	museum	-10.0	Europe/Oslo	manufacturing
Itajaí	7605417	55037.93	347.63	12/14/1849	Suzie Kibbye	park	-1.8	America/Sao_Paulo	technology
Colombes	2222413	73498.08	897.82	8/27/2013	Egon Meneyer	museum	16.9	Europe/Paris	technology
Belém	5310592	72043.15	702.07	1/20/1722	Merrill Corbin	monument	20.9	America/Fortaleza	tourism
Taling	3795966	44108.36	62.39	4/3/1849	Torie Hopfner	monument	25.1	Asia/Harbin	technology
Povarovo	2118680	91838.24	786.36	12/2/2001	Franny Kupis	park	13.1	Europe/Moscow	tourism
Bayanhoshuu	1191703	88889.46	648.16	2/28/1801	Dav Prandin	park	-9.0	Asia/Ulaanbaatar	technology
Kousa	380532	23111.97	870.23	4/17/1960	Kirstyn Quartley	museum	25.1	Africa/Cairo	technology
Batumi	1051773	78617.96	260.91	3/5/1944	Theda Dalgardno	museum	22.7	Asia/Tbilisi	manufacturing
Butterworth	1594279	93883.44	836.29	10/12/1752	Yvette Pannaman	museum	-7.5	Asia/Kuala_Lumpur	technology
Alindao	2131405	22230.45	772.18	4/18/1926	Guillaume Massimi	museum	-8.0	Africa/Bangui	tourism
Memória	6228323	49416.61	956.07	1/22/1925	Gino Pawling	park	0.0	Europe/Lisbon	tourism
Morales	6656064	67968.17	375.06	3/22/1954	Julianne Coneybeer	museum	31.1	America/Bogota	tourism
Wolowiro	5951889	73661.54	341.24	2/8/1797	Rosemary Dumphry	park	-0.7	Asia/Makassar	tourism
Sukatani	9236170	52630.27	25.4	5/31/1854	Lorry Quinevan	monument	25.3	Asia/Jakarta	manufacturing
Qukës-Skënderbe	219369	99635.82	392.56	4/6/1975	Layney Gyrgorcewicx	monument	21.4	Europe/Skopje	tourism
Chervyen’	908138	67078.48	183.07	8/1/1746	Kessia McMahon	monument	37.4	Europe/Minsk	tourism
Muramatsu	2880578	43789.3	708.55	8/8/1840	Elnora Callendar	park	-11.0	Asia/Tokyo	manufacturing
Xiaocun	3548615	39476.58	528.75	2/18/1996	Arther MacInherney	monument	15.6	Asia/Shanghai	technology
Rakhiv	8599013	92951.87	121.52	7/27/1923	Morten Lilleycrop	park	4.8	Europe/Bucharest	tourism
Tall aḑ Ḑamān	9273486	71131.3	705.72	3/16/2009	Barnebas Dewes	monument	-8.3	Asia/Damascus	tourism
Huazhou	9055010	66257.23	507.67	8/4/1808	Yorgos Harte	park	23.5	Asia/Chongqing	tourism
Baziqiao	9949648	83858.01	622.17	5/5/1970	Niki Olivas	monument	-14.3	Asia/Shanghai	manufacturing
Mankoeng	3167725	29838.5	834.84	4/3/2016	Elset Gamil	park	15.1	Africa/Johannesburg	manufacturing
Kapinango	1877328	22441.14	835.25	3/16/1970	Abby Dries	monument	6.0	Asia/Jakarta	manufacturing
Latacunga	4276970	89837.04	579.43	9/19/1959	Carmel Tarren	park	35.3	America/Guayaquil	manufacturing
Caldas da Rainha	5410092	46130.88	223.38	3/4/1970	Papagena Richarz	monument	2.6	Europe/Lisbon	tourism
Adolfo Lopez Mateos	5782894	45080.41	494.11	7/24/1877	Nady Fullerd	museum	17.4	America/Mexico_City	manufacturing
Manchester	9713029	86168.51	525.56	3/13/1967	Clio Zarfati	museum	-2.7	Europe/London	manufacturing
Si Khoraphum	4284816	70639.39	72.47	6/7/1737	Denny Malcolm	museum	37.3	Asia/Bangkok	manufacturing
Montpellier	9848742	29414.66	949.9	10/15/2011	Neely Gentle	monument	31.5	Europe/Paris	tourism
Qagan Obo	2224056	64170.25	517.68	7/21/1808	Mavra Woodhams	monument	-14.9	Asia/Harbin	manufacturing
Bouças	658605	86103.14	792.91	8/12/1873	Merilee Langshaw	monument	22.4	Europe/Lisbon	technology
Kolo	1826288	47301.27	808.6	2/9/1894	Currey Straker	monument	12.0	Asia/Makassar	technology
San Buenaventura	3504752	39878.34	694.49	10/25/1853	Geoffrey Lenz	monument	-6.1	America/Tegucigalpa	technology
Mahébourg	9113160	52274.17	903.1	6/11/1866	Isacco Lenox	monument	37.8	Indian/Mauritius	manufacturing
Araxá	7646205	89531.06	276.14	1/20/1860	Bess Doctor	monument	10.5	America/Sao_Paulo	manufacturing
San Lorenzo de Esmeraldas	1150894	36784.76	868.86	9/1/1777	Ronalda Pardew	museum	-5.6	America/Guayaquil	technology
Sujiatun	109325	33424.5	142.27	10/19/1962	Giorgio Karpman	museum	2.1	Asia/Harbin	technology
Baikui	2706835	57584.42	691.1	8/17/2007	Gaultiero Eberlein	park	-6.7	Asia/Harbin	tourism
Aiximan	6038266	29515.73	466.76	6/5/1916	Page O'Regan	monument	31.6	Asia/Kashgar	tourism
Valsamáta	2817490	46526.12	402.1	5/20/1960	Saba Boich	park	32.4	Europe/Athens	technology
Mombaça	29262	84933.42	475.28	5/17/2004	Mycah Kleanthous	monument	-4.0	America/Fortaleza	manufacturing
Zhongshan	7412721	57403.69	151.28	4/21/1731	Casey Wincott	monument	7.0	Asia/Chongqing	tourism
Zhangyang	5874492	52574.89	41.39	11/14/1915	Shantee Winwright	museum	-0.6	Asia/Shanghai	manufacturing
Yiqian	4934244	42932.7	36.82	9/25/1878	Georgine Brimfield	museum	-10.7	Asia/Shanghai	tourism
Quinta dos Frades	8653372	27330.7	94.32	1/6/1777	Ryun Membry	monument	24.5	Europe/Lisbon	manufacturing
Balading	7319645	84747.83	287.78	5/15/1788	Anna Scase	park	18.8	Asia/Manila	technology
Sipocot	2814673	26172.83	806.91	2/26/1832	Vivianna MacAskill	park	-4.3	Asia/Manila	tourism
Yuguan	9800242	84647.44	541.56	10/10/1723	Dorelle Klimt	museum	-8.4	Asia/Chongqing	technology
Pointe Michel	271086	93419.46	692.93	3/16/1841	Ardelis Kramer	park	-6.9	America/Dominica	tourism
Dongkeng	9199050	29722.85	202.94	10/23/1845	Crista Ladyman	park	4.4	Asia/Shanghai	manufacturing
Dapdapan	812190	58192.17	307.13	10/10/1731	Earvin Theobalds	monument	-16.9	Asia/Manila	technology
San Juan de Manapiare	7480600	23561.42	336.36	9/16/1781	Sheryl Tupp	monument	-3.0	America/Caracas	manufacturing
Piribebuy	6952418	90293.57	114.75	4/28/1722	Carmon Shinfield	monument	36.5	America/Asuncion	tourism
Istres	1590667	97860.66	160.92	9/15/1782	Tab Haylands	monument	-9.8	Europe/Paris	manufacturing
Pelasgía	1266365	22445.88	124.56	10/20/1736	Adolph Peet	monument	-19.9	Europe/Athens	manufacturing
San Antonio	418169	67319.84	742.26	6/6/1778	Nelle Labone	park	12.9	America/Tegucigalpa	tourism
Banyuresmi	6971507	83805.24	916.12	12/24/1719	Larina Moodycliffe	museum	31.5	Asia/Jakarta	tourism
Río Alejandro	4674979	54337.14	741.49	4/13/1812	Cecelia Blockey	monument	-1.1	America/Panama	tourism
Growong Lor	6353466	97655.56	785.99	8/4/1830	Lucien Skyme	monument	1.6	Asia/Jakarta	technology
Maracanaú	1288778	42711.06	677.47	3/17/1728	Billy MacGorley	park	6.5	America/Fortaleza	manufacturing
Tiền Hải	7451114	33086.69	148.36	8/3/1896	Cinda Cornuau	monument	-18.1	Asia/Ho_Chi_Minh	tourism
Pamplona	487866	69513.54	60.58	7/23/1981	Rana Picker	park	-9.6	America/Bogota	tourism
Santa Teresa	2157308	70332.77	434.52	11/26/1761	Roxi Sineath	park	38.1	Asia/Manila	tourism
Oleszyce	2941800	37943.9	682.53	4/17/1762	Ianthe Libbis	museum	20.6	Europe/Warsaw	technology
Xincheng	9365516	51876.49	608.23	10/3/1837	Aindrea Wilber	museum	1.0	Asia/Chongqing	tourism
Redcliff	2719723	90979.49	883.85	10/7/1905	Charline Hassent	park	33.2	Africa/Harare	technology
Carot	452744	61174.22	449.85	1/15/1737	Jerrold Nicholl	monument	-12.3	Asia/Manila	technology
Magumeri	4980658	84846.71	300.29	11/24/1861	Cello Simoncello	museum	39.4	Africa/Lagos	tourism
MacArthur	5978269	27323.88	491.95	6/6/1817	Zachariah Chaloner	museum	6.2	Asia/Manila	manufacturing
Trollhättan	5054710	82503.2	293.21	9/18/1894	Neysa Rousby	monument	-17.7	Europe/Stockholm	technology
Santai	4341063	21567.74	385.75	7/17/2011	Ruy Stansall	museum	-7.0	Asia/Urumqi	tourism
Agassiz	4534202	48265.52	112.09	4/29/1709	Zacherie Bendan	monument	37.0	America/Vancouver	technology
Tohautu	4027717	73675.9	241.14	6/17/1794	Salomone Borghese	monument	3.6	Pacific/Tahiti	tourism
Sanjie	6283942	46156.46	815.09	6/1/1725	Winfield Messier	museum	4.9	Asia/Shanghai	manufacturing
Criação Velha	6438821	77468.85	524.79	9/29/1961	Scotti Upchurch	museum	-7.1	Africa/Accra	tourism
Krajan Selatan	677149	56481.92	835.83	12/27/1864	Marion Healks	park	-7.6	Asia/Makassar	tourism
Bahāwalnagar	6614929	90837.5	796.27	7/1/1739	Debbie Thewys	park	20.0	Asia/Karachi	tourism
Gongming	5059699	64100.79	528.05	12/26/1750	Olin Rebbeck	park	5.7	Asia/Chongqing	technology
Xieba	5078519	52625.23	140.7	5/23/1975	Jarrett Chappelow	park	9.5	Asia/Chongqing	tourism
Kasembon	2511592	99372.49	435.34	11/13/1985	Toby Prover	museum	-18.9	Asia/Jakarta	technology
São Mateus	5964633	64083.64	286.23	10/26/1954	Kerk Dunlap	monument	25.7	Africa/Accra	manufacturing
Ciusul	4497093	59746.97	996.41	8/17/1997	Briant Varnham	museum	-8.5	Asia/Jakarta	technology
Andahuaylas	729594	81768.81	172.63	5/13/1760	Baxy Philipsson	monument	-15.2	America/Lima	manufacturing
Safi	746112	35853.07	898.85	8/15/1810	Marsh Petteford	museum	-3.4	Asia/Amman	technology
Rizal	2535263	47252.08	635.73	9/10/1999	Esmaria Saynor	park	-1.4	Asia/Manila	tourism
Várzea Grande	5958769	50579.47	998.2	6/2/1764	Jojo Dunton	monument	37.3	America/Cuiaba	manufacturing
Aramayuan	6306619	55694.6	145.23	8/13/1747	Marleah Dysart	park	-17.9	Asia/Manila	manufacturing
Xinkai	7688008	76305.07	377.61	3/20/1877	Ania Shuttlewood	park	38.2	Asia/Shanghai	tourism
Mawlaik	396887	42842.3	433.76	3/15/1906	Malinde Sellen	park	31.1	Asia/Rangoon	manufacturing
Spiczyn	4040799	42083.05	952.7	12/21/1870	Peggi Bathurst	park	-17.5	Europe/Warsaw	tourism
Carmen	4491563	98693.26	55.58	10/6/1777	Misti Maldin	monument	-0.9	Asia/Manila	tourism
Normandin	7124404	83325.85	412.34	3/22/1950	Emlyn Brunini	museum	38.4	America/Montreal	tourism
Fale old settlement	9491669	91508.87	664.67	9/12/1767	Sadye Setch	monument	8.6	Pacific/Apia	tourism
Alajuelita	1450882	91599.94	295.34	10/8/1789	Avictor Rookesby	monument	4.2	America/Costa_Rica	tourism
Pontevedra	474686	63536.32	646.93	2/9/1991	Sylvan de Voiels	monument	11.4	Europe/Madrid	technology
Miatli	2772727	86265.97	731.74	3/12/1987	Eward Hiddy	monument	4.7	Europe/Moscow	tourism
Hollola	8565958	23008.4	752.91	3/29/1850	Alicia Farris	museum	8.6	Europe/Helsinki	tourism
eMbalenhle	9509313	51844.83	457.27	7/7/1749	Hephzibah Hurren	park	17.0	Africa/Johannesburg	technology
Iktābah	986214	73131.77	822.37	5/17/1822	Frannie Mellhuish	museum	-4.1	Asia/Hebron	tourism
Teresina	326688	68632.53	983.91	3/7/1730	Devy Deem	park	9.8	America/Fortaleza	tourism
Jiangzao	4639151	82307.79	28.28	7/3/1961	Shel Leamon	park	5.0	Asia/Shanghai	manufacturing
Vidoši	7432043	43245.19	852.79	2/12/1910	Kelci Brechin	museum	19.6	Europe/Sarajevo	technology
Houston	7731059	56423.59	173.82	2/10/1955	Derril Lillow	museum	18.5	America/Chicago	tourism
Pasar	1995020	24536.04	657.53	4/28/1937	Rahel Gotobed	monument	17.6	Asia/Jakarta	manufacturing
Si Racha	1257868	98054.11	874.41	7/24/1821	Andrey O'Shiel	monument	36.0	Asia/Bangkok	manufacturing
Diwopu	8536548	27853.54	639.01	4/24/1780	Bernita Kinsett	museum	14.4	Asia/Urumqi	technology
Suay	9426880	34991.22	709.12	6/1/2021	Oberon Harmant	museum	-18.7	Asia/Manila	manufacturing
Lazaro Cardenas	8042150	36088.61	766.2	7/8/1760	Brice Olligan	park	24.4	America/Mexico_City	manufacturing
Suban Jeriji	4652203	83799.35	728.85	1/20/1719	Dallas D'Andrea	museum	-6.8	Asia/Jakarta	technology
Āwash	6357434	26027.21	144.56	6/15/1783	Alwin Saull	monument	-13.4	Africa/Addis_Ababa	tourism
Bergen	5106715	50073.09	198.2	5/21/1978	Chad Towe	monument	-9.2	Europe/Oslo	tourism
Cuenca	2160336	70560.26	562.8	1/15/1945	Esme Billion	museum	4.0	America/Guayaquil	manufacturing
Vila Franca das Naves	4880058	90016.89	875.47	2/22/1946	Vally Dietz	museum	-3.0	Europe/Lisbon	technology
Foso	2798265	60825.71	345.2	12/26/1704	Billie Tincknell	park	39.1	Africa/Accra	tourism
Gelsenkirchen	9585238	78365.09	889.21	4/13/1805	Corabella Dyter	museum	-6.7	Europe/Berlin	manufacturing
Kajaani	1711140	99083.1	772.4	7/7/1981	Neddy Breakwell	museum	-1.9	Europe/Helsinki	tourism
Sukadami	8748979	27838.25	948.69	1/24/1710	Averill McGaughie	monument	34.8	Asia/Jakarta	manufacturing
Qingshan	4609719	99455.9	479.12	3/31/1838	Malchy Vine	museum	5.9	Asia/Harbin	tourism
Katsuura	8469315	70602.93	627.48	3/29/1780	Durand Cornil	museum	36.7	Asia/Tokyo	manufacturing
Le Havre	1511168	63503.13	337.26	8/17/1811	Clarance Vaughan	park	14.0	Europe/Paris	tourism
Paris 13	6894673	78395.88	922.1	6/11/2017	Herbie Romeril	park	-18.6	Europe/Paris	technology
Luzern	6964565	70238.72	94.48	7/16/1794	Harmonia Tomei	park	35.4	Europe/Zurich	manufacturing
Rahama	7517173	96062.01	99.72	1/21/1746	Stewart Cosins	park	-19.6	Africa/Lagos	manufacturing
Sikur	9932096	72358.93	399.71	8/15/2016	Arlee Habbon	museum	39.3	Asia/Makassar	tourism
Nong Chik	2909564	37527.04	740.49	9/16/2012	Kelwin Crimp	monument	2.4	Asia/Bangkok	technology
Nevers	2386631	74136.37	463.32	2/20/1800	Simone Eglinton	monument	-16.1	Europe/Paris	tourism
Düsseldorf	6395622	60076.33	243.04	12/9/1745	Pedro Santhouse	monument	6.9	Europe/Berlin	tourism
Doña Remedios Trinidad	9876398	41567.57	125.96	11/24/1784	Worthy Murray	monument	16.9	Asia/Manila	tourism
‘Anātā	6750357	95748.37	958.65	4/24/1987	Bridgette Lidster	monument	0.1	Asia/Jerusalem	technology
Miānwāli	9088430	38616.05	625.71	7/20/1863	Jocelyn Chazette	museum	-1.4	Asia/Karachi	technology
Miguel Hidalgo	3733735	47701.86	992.29	12/24/1788	Hakim Chisholm	museum	17.9	America/Mexico_City	manufacturing
Lembung Tengah	854846	77528.04	949.12	10/10/1874	Isak Jefferd	museum	38.3	Asia/Jakarta	technology
Petrozavodsk	7067866	90983.18	699.15	7/2/1915	Huey Middell	park	-9.6	Europe/Moscow	manufacturing
Lincoln	250909	22956.52	167.9	9/17/1789	Aretha Stancer	park	-17.3	America/Chicago	technology
Kruševica	9629301	58977.61	670.37	2/28/1990	Whit Colliber	monument	36.3	Europe/Sarajevo	manufacturing
Vinhais	8917426	21827.88	716.44	8/5/2003	Lizbeth Inglis	park	-8.7	Europe/Lisbon	manufacturing
Cikendi	2770188	32377.92	422.38	1/30/1992	Maurie Enevoldsen	museum	-11.8	Asia/Jakarta	manufacturing
Tonosí	5794849	68057.73	452.32	1/3/1926	Lucais Ashlee	museum	-7.5	America/Panama	technology
Shumikha	1589179	35481.6	342.65	9/20/1925	Joyous D'Adamo	park	11.8	Asia/Yekaterinburg	manufacturing
Taiping	625779	59045.15	976.32	11/25/1857	Joelle Daly	park	23.7	Asia/Chongqing	technology
Kota Kinabalu	5584451	40450.15	696.0	6/3/1877	Elyssa Ivain	museum	33.2	Asia/Kuching	technology
Dagkar	6039550	25646.59	959.96	1/12/1987	Base Strass	monument	-14.4	Asia/Chongqing	tourism
Wādī as Sīr	7052514	53556.11	309.87	12/8/1867	Mannie Grob	museum	16.6	Asia/Amman	tourism
Salcedo	6865018	31995.73	284.08	6/10/1931	Eleanora Grzegorzewski	monument	12.5	Asia/Manila	manufacturing
Rajsko	3882084	87789.47	725.83	8/15/1960	Marcia Cumpsty	museum	25.0	Europe/Warsaw	technology
Colombes	2341387	95379.87	772.05	10/7/1840	Jimmie Gate	monument	1.0	Europe/Paris	technology
Pedra Branca	5459899	96468.22	54.91	2/15/1700	Denny Marran	park	-15.3	America/Fortaleza	tourism
